model,workload,objective_role,config_id,hash,cap,chunk,policy,mem
qwen,shared_prefix,request_throughput_best,184,cap128_chunk8192_pollpm_mem0.75,128,8192,lpm,0.75
qwen,shared_prefix,output_throughput_best,184,cap128_chunk8192_pollpm_mem0.75,128,8192,lpm,0.75
qwen,shared_prefix,ttft_p95_best,169,cap128_chunk-1_pollpm_mem0.8,128,-1,lpm,0.8
qwen,shared_prefix,tpot_p95_best,9,cap8_chunk2048_pollpm_mem0.8,8,2048,lpm,0.8
qwen,shared_prefix,e2e_p95_best,165,cap96_chunk8192_polfcfs_mem0.8,96,8192,fcfs,0.8
qwen,shared_prefix,ttft_p50_best,97,cap48_chunk-1_pollpm_mem0.8,48,-1,lpm,0.8
qwen,shared_prefix,tpot_p50_best,17,cap8_chunk8192_pollpm_mem0.8,8,8192,lpm,0.8
qwen,shared_prefix,e2e_p50_best,101,cap48_chunk-1_polfcfs_mem0.8,48,-1,fcfs,0.8
qwen,shared_prefix,constrained_throughput_best_1pct,77,cap32_chunk-1_polfcfs_mem0.8,32,-1,fcfs,0.8
qwen,shared_prefix,constrained_throughput_best_3pct,77,cap32_chunk-1_polfcfs_mem0.8,32,-1,fcfs,0.8
qwen,shared_prefix,constrained_throughput_best_5pct,77,cap32_chunk-1_polfcfs_mem0.8,32,-1,fcfs,0.8
qwen,shared_prefix,constrained_ttft_best,82,cap32_chunk2048_pollpm_mem0.85,32,2048,lpm,0.85
qwen,shared_prefix,constrained_tpot_best,83,cap32_chunk2048_pollpm_mem0.9,32,2048,lpm,0.9
qwen,shared_prefix,constrained_e2e_best,77,cap32_chunk-1_polfcfs_mem0.8,32,-1,fcfs,0.8
qwen,shared_prefix,maximin_balanced_best,77,cap32_chunk-1_polfcfs_mem0.8,32,-1,fcfs,0.8
qwen,shared_prefix,geometric_balanced_best,169,cap128_chunk-1_pollpm_mem0.8,128,-1,lpm,0.8
qwen,shared_prefix,strict_all_metric_candidate,77,cap32_chunk-1_polfcfs_mem0.8,32,-1,fcfs,0.8
qwen,shared_prefix,noise_tolerant_all_metric_candidate,77,cap32_chunk-1_polfcfs_mem0.8,32,-1,fcfs,0.8
qwen,shared_prefix,pareto_knee_candidate,169,cap128_chunk-1_pollpm_mem0.8,128,-1,lpm,0.8
qwen,tool_agent,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85
qwen,tool_agent,request_throughput_best,139,cap64_chunk8192_pollpm_mem0.9,64,8192,lpm,0.9
qwen,tool_agent,output_throughput_best,139,cap64_chunk8192_pollpm_mem0.9,64,8192,lpm,0.9
qwen,tool_agent,ttft_p95_best,115,cap48_chunk8192_pollpm_mem0.9,48,8192,lpm,0.9
