completed_index,optuna_trial_number,request_throughput,output_token_throughput,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,e2e_p50,e2e_p95,e2e_p99,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,moe_runner_backend,attention_backend,disable_cuda_graph,server_startup_s,benchmark_wall_s,config_hash,result_path
90,112,19.458168459812697,4981.29112571205,183.851,188.608,188.678,5.673,5.677,5.82,1630.264,1632.524,1632.644,128,8192,lpm,0.8,triton,fa3,False,28.0,1.6445535491220653,6a28e9d5dcc22e08,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0090/bench_serving.jsonl
91,113,12.231559425988928,3131.2792130531657,743.263,1389.661,1389.823,4.762,4.765,4.788,1957.058,2604.648,2604.705,16,-1,fcfs,0.9,triton,fa3,False,25.0,2.616183177102357,debb7151ed305a17,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0091/bench_serving.jsonl
92,114,19.618926967872927,5022.445303775469,171.678,175.689,175.793,5.676,5.681,5.807,1618.51,1621.369,1621.689,48,-1,lpm,0.8,triton,fa3,False,28.0,1.63107799179852,cb744e0c6ec46ffe,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0092/bench_serving.jsonl
93,116,19.66995564912175,5035.508646175168,168.607,170.284,170.412,5.654,5.722,5.722,1610.534,1612.242,1613.263,32,-1,fcfs,0.75,triton,fa3,False,25.0,1.6268465761095285,25e1922ec64e8a67,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0093/bench_serving.jsonl
94,118,12.094491102328243,3096.1897221960303,156.471,1554.619,1554.724,5.284,5.501,5.594,1505.317,2632.147,2632.408,24,2048,fcfs,0.75,triton,fa3,False,25.0,2.6458326959982514,d89fb5351dc90ccc,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0094/bench_serving.jsonl
95,120,12.193301275858047,3121.48512661966,144.72,1533.907,1533.973,5.286,5.29,5.39,1492.821,2611.378,2611.566,24,8192,fcfs,0.75,triton,fa3,False,25.0,2.6243918095715344,2ca2195ef08f12a0,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0095/bench_serving.jsonl
96,122,12.017331419620055,3076.436843422734,762.581,1430.129,1430.307,4.782,4.882,4.922,1990.051,2651.461,2651.492,16,2048,lpm,0.75,triton,fa3,False,25.0,2.66282079461962,a61d0e35931fcfb0,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0096/bench_serving.jsonl
97,123,19.434935435163847,4975.343471401945,188.006,191.061,191.247,5.662,5.669,5.847,1631.722,1634.917,1635.743,32,8192,lpm,0.75,triton,fa3,False,25.0,1.6465194909833372,d9150a3d0bd853dc,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0097/bench_serving.jsonl
98,124,19.66392210258102,5033.964058260741,165.003,169.103,169.317,5.669,5.677,5.797,1610.337,1613.281,1613.579,48,8192,lpm,0.75,triton,fa3,False,25.0,1.6273457468487322,4e3ff68d90a1416f,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0098/bench_serving.jsonl
99,125,19.735187678859543,5052.208045788043,164.288,167.711,167.797,5.661,5.667,5.786,1607.852,1611.178,1611.211,32,8192,fcfs,0.85,triton,fa3,False,25.0,1.6214692518115044,780aa9f82ede8b3b,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0099/bench_serving.jsonl
