index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
93,2281.127,41.28,172.097,0,operator_norm,rmsnorm,RMSNormKernel,16000,32,
94,2494.504,522.977,1.376,0,conv_in_proj,gemm,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,2,384,
95,3018.857,89.473,1.152,0,conv_b_gate_mul,mul,elementwise_kernel,64000,128,
96,3109.482,224.064,32.576,0,conv_layout_copy,copy_bf16,elementwise_kernel,64000,128,
97,3366.122,1.088,39.584,0,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
98,3406.794,58.177,1.376,0,conv_kernel,conv_fwd,causal_conv1d_fwd_kernel,4,128,
99,3466.347,226.944,4.096,0,conv_c_gate_mul,mul,elementwise_kernel,64000,128,
100,3697.387,169.825,-0.16,0,conv_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
101,3867.052,61.504,5.664,0,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
102,3934.22,1194.436,1.312,0,dense_gate_up,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
103,5129.968,154.4,4.352,0,dense_activation,act_and_mul,act_and_mul_kernel,16000,896,
104,5288.72,593.954,-0.128,0,dense_down,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
105,5882.546,61.76,4.224,1,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
106,5948.53,521.41,1.12,1,conv_in_proj,gemm,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,2,384,
107,6471.06,89.216,1.216,1,conv_b_gate_mul,mul,elementwise_kernel,64000,128,
108,6561.492,220.641,42.144,1,conv_layout_copy,copy_bf16,elementwise_kernel,64000,128,
109,6824.277,1.152,24.32,1,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
110,6849.749,58.72,1.12,1,conv_kernel,conv_fwd,causal_conv1d_fwd_kernel,4,128,
111,6909.589,226.977,4.16,1,conv_c_gate_mul,mul,elementwise_kernel,64000,128,
112,7140.726,174.72,-0.16,1,conv_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
113,7315.286,60.896,3.808,1,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
114,7379.99,1198.5,1.312,1,dense_gate_up,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
115,8579.802,156.192,3.84,1,dense_activation,act_and_mul,act_and_mul_kernel,16000,896,
116,8739.834,587.618,-0.128,1,dense_down,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
117,9327.324,61.184,4.224,2,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
118,9392.732,259.905,1.088,2,attn_qkv_proj,gemm,nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,2,384,
119,9653.725,77.216,-0.128,2,attn_q_layout_copy,copy_bf16,elementwise_kernel,64000,128,
120,9730.813,617.794,2.24,2,attn_q_norm,rmsnorm,RMSNormKernel,512000,32,
121,10350.847,21.408,-0.128,2,attn_k_layout_copy,copy_bf16,elementwise_kernel,16000,128,
122,10372.127,155.905,1.216,2,attn_k_norm,rmsnorm,RMSNormKernel,128000,32,
123,10529.248,55.648,-0.16,2,attn_rope,rope,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,1000,8,
124,10584.736,16.864,2.144,2,attn_store_kv,store_kv,store_kvcache,8000,128,
125,10603.744,3.456,-0.032,2,attn_prepare,attention_prepare,prepare_varlen_num_blocks_kernel,1,32,
126,10607.168,608.162,4.832,2,attn_kernel,attention,device_kernel,132,512,
127,11220.162,173.856,-0.128,2,attn_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
128,11393.89,62.369,2.176,2,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
129,11458.435,21.024,1.216,2,moe_router,gemm,nvjet_tst_32x128_64x10_1x2_h_bz_TNN,2,384,
130,11480.675,3.104,1.184,2,moe_topk,topk_sigmoid,topkGatingSigmoid,500,32,
