index,start_us,duration_us,gap_to_next_activity_us,activity,name,bytes,kernel_index
52,708.258,2.048,2.4,kernel,other,0,42
53,712.706,2.048,1.696,kernel,other,0,43
54,716.45,2.144,2.144,kernel,other,0,44
55,720.738,2.144,1.344,kernel,other,0,45
56,724.226,2.048,1.632,kernel,other,0,46
57,727.906,2.016,2.112,kernel,other,0,47
58,732.034,2.176,2.08,kernel,other,0,48
59,736.29,2.144,1.408,kernel,other,0,49
60,739.842,2.048,1.632,kernel,other,0,50
61,743.522,2.08,2.432,kernel,other,0,51
62,748.034,2.176,1.312,kernel,other,0,52
63,751.522,2.112,9.92,kernel,other,0,53
64,763.554,0.768,29.249,memcpy,memcpy_kind_1,4,
65,793.571,0.736,14.112,memcpy,memcpy_kind_1,2,
66,808.419,2.048,2.592,kernel,other,0,54
67,813.059,2.016,2.016,kernel,other,0,55
68,817.091,2.176,1.76,kernel,other,0,56
69,821.027,2.144,2.208,kernel,other,0,57
70,825.379,2.048,2.592,kernel,other,0,58
71,830.019,2.08,2.048,kernel,other,0,59
72,834.147,2.144,1.696,kernel,other,0,60
73,837.987,2.112,1.728,kernel,other,0,61
74,841.827,2.048,1.824,kernel,other,0,62
75,845.699,2.048,1.728,kernel,other,0,63
76,849.475,2.144,1.728,kernel,other,0,64
77,853.347,2.144,1.536,kernel,other,0,65
78,857.027,2.048,1.568,kernel,other,0,66
79,860.643,2.048,2.208,kernel,other,0,67
80,864.899,2.144,1.472,kernel,other,0,68
81,868.515,2.144,1.856,kernel,other,0,69
82,872.515,2.048,2.112,kernel,other,0,70
83,876.675,2.016,9.056,kernel,other,0,71
84,887.747,0.736,47.008,memcpy,memcpy_kind_1,4,
85,935.491,3.808,14.112,memcpy,memcpy_kind_2,8,
86,953.411,2.304,11.648,memcpy,memcpy_kind_2,8,
87,967.363,2.336,10.848,memcpy,memcpy_kind_2,8,
88,980.547,2.336,15.36,memcpy,memcpy_kind_2,8,
89,998.243,0.736,23.936,memcpy,memcpy_kind_1,16,
90,1022.915,0.768,19.296,memcpy,memcpy_kind_1,32,
91,1042.979,1.504,18.464,kernel,other,0,72
92,1062.947,0.768,45.953,memcpy,memcpy_kind_1,32,
93,1109.668,0.736,97.856,memcpy,memcpy_kind_1,32,
94,1208.26,5.696,56.896,kernel,other,0,73
95,1270.852,0.736,31.936,memcpy,memcpy_kind_1,16,
96,1303.524,0.736,19.36,memcpy,memcpy_kind_1,16,
97,1323.62,0.736,20.768,memcpy,memcpy_kind_1,16,
98,1345.124,0.736,183.681,memcpy,memcpy_kind_1,16,
99,1529.541,0.768,19.072,memcpy,memcpy_kind_1,16,
100,1549.381,0.736,71.456,memcpy,memcpy_kind_1,16,
101,1621.573,1.504,75.008,kernel,other,0,74
102,1698.085,0.96,57.856,kernel,copy_int,0,75
103,1756.901,0.96,27.009,kernel,copy_int,0,76
104,1784.87,0.736,23.68,kernel,other,0,77
105,1809.286,1.568,40.96,kernel,other,0,78
106,1851.814,0.768,24.416,kernel,other,0,79
107,1876.998,1.024,48.608,memcpy,memcpy_kind_8,16,
108,1926.63,1.728,31.168,kernel,other,0,80
109,1959.526,1.696,27.2,kernel,other,0,81
110,1988.422,0.96,38.784,memcpy,memcpy_kind_8,16,
111,2028.166,0.832,12.8,kernel,other,0,82
112,2041.798,0.8,45.6,memcpy,memcpy_kind_8,4,
113,2088.198,0.928,61.985,kernel,other,0,83
114,2151.111,2.016,15.712,kernel,other,0,84
115,2168.839,2.4,49.184,memcpy,memcpy_kind_2,1,
116,2220.423,0.608,33.28,kernel,other,0,85
117,2254.311,0.896,41.344,kernel,other,0,86
118,2296.551,1.344,18.464,kernel,copy,0,87
119,2316.359,0.768,9.696,kernel,other,0,88
120,2326.823,1.312,15.456,kernel,other,0,89
121,2343.591,2.208,44.128,kernel,other,0,90
122,2389.927,3.968,133.761,kernel,other,0,91
123,2527.656,33.28,85.184,kernel,other,0,92
124,2646.12,41.28,162.337,kernel,rmsnorm,0,93
125,2849.737,0.8,8.96,memset,memset,4,
126,2859.497,522.977,1.376,kernel,gemm,0,94
127,3383.85,89.473,1.152,kernel,mul,0,95
128,3474.475,224.064,1.216,kernel,copy_bf16,0,96
129,3699.755,1.184,1.856,memcpy,memcpy_kind_8,16,
130,3702.795,0.736,27.584,memcpy,memcpy_kind_1,4,
131,3731.115,1.088,39.584,kernel,copy_int,0,97
132,3771.787,58.177,1.376,kernel,conv_fwd,0,98
133,3831.34,226.944,1.696,kernel,mul,0,99
134,4059.98,0.8,1.6,memset,memset,4,
135,4062.38,169.825,-0.16,kernel,gemm,0,100
136,4232.045,61.504,1.472,kernel,fused_add_rmsnorm,0,101
137,4295.021,1.12,3.072,memset,memset,4,
