index,start_us,duration_us,gap_to_next_activity_us,activity,name,bytes,kernel_index
203,23484.839,61.6,1.664,kernel,fused_add_rmsnorm,0,154
204,23548.103,0.8,1.568,memset,memset,4,
205,23550.471,520.066,1.056,kernel,gemm,0,155
206,24071.593,89.6,1.92,kernel,mul,0,156
207,24163.113,220.033,2.08,kernel,copy_bf16,0,157
208,24385.226,1.056,1.664,memcpy,memcpy_kind_8,16,
209,24387.946,0.736,45.472,memcpy,memcpy_kind_1,4,
210,24434.154,1.12,24.128,kernel,copy_int,0,158
211,24459.402,58.24,1.024,kernel,conv_fwd,0,159
212,24518.666,227.137,1.728,kernel,mul,0,160
213,24747.531,0.8,1.536,memset,memset,4,
214,24749.867,175.904,-0.128,kernel,gemm,0,161
215,24925.643,62.465,1.088,kernel,fused_add_rmsnorm,0,162
216,24989.196,19.936,1.056,kernel,gemm,0,163
217,25010.188,3.104,1.024,kernel,topk_sigmoid,0,164
218,25014.316,14.944,0.992,kernel,moe_align,0,165
219,25030.252,20.416,0.864,kernel,moe_count_sort,0,166
220,25051.532,3191.433,1.152,kernel,fused_moe,0,167
221,28244.117,156.033,1.952,kernel,act_and_mul,0,168
222,28402.102,1607.973,1.12,kernel,fused_moe,0,169
223,30011.195,76.448,-0.128,kernel,moe_sum,0,170
224,30087.515,61.952,1.824,kernel,fused_add_rmsnorm,0,171
225,30151.291,0.8,1.6,memset,memset,4,
226,30153.691,521.09,1.184,kernel,gemm,0,172
227,30675.965,89.92,1.216,kernel,mul,0,173
228,30767.101,220.193,0.992,kernel,copy_bf16,0,174
229,30988.286,1.12,1.792,memcpy,memcpy_kind_8,16,
230,30991.198,0.736,39.296,memcpy,memcpy_kind_1,4,
231,31031.23,1.12,24.0,kernel,copy_int,0,175
232,31056.35,58.464,1.088,kernel,conv_fwd,0,176
233,31115.902,226.401,1.792,kernel,mul,0,177
234,31344.095,0.8,1.6,memset,memset,4,
235,31346.495,176.096,-0.16,kernel,gemm,0,178
236,31522.431,62.208,1.216,kernel,fused_add_rmsnorm,0,179
237,31585.855,20.32,1.056,kernel,gemm,0,180
238,31607.231,3.136,0.96,kernel,topk_sigmoid,0,181
239,31611.327,14.816,0.96,kernel,moe_align,0,182
240,31627.103,30.849,0.896,kernel,moe_count_sort,0,183
241,31658.848,3184.009,1.12,kernel,fused_moe,0,184
242,34843.977,155.425,1.088,kernel,act_and_mul,0,185
243,35000.49,1594.852,1.184,kernel,fused_moe,0,186
244,36596.526,76.225,-0.128,kernel,moe_sum,0,187
245,36672.623,61.536,1.568,kernel,fused_add_rmsnorm,0,188
246,36735.727,0.8,1.6,memset,memset,4,
247,36738.127,259.393,1.152,kernel,gemm,0,189
248,36998.672,77.408,-0.128,kernel,copy_bf16,0,190
249,37075.952,617.378,1.984,kernel,rmsnorm,0,191
250,37695.314,21.792,-0.096,kernel,copy_bf16,0,192
251,37717.01,155.776,1.184,kernel,rmsnorm,0,193
252,37873.97,55.584,-0.128,kernel,rope,0,194
253,37929.426,16.0,2.24,kernel,store_kv,0,195
254,37947.666,2.912,-0.032,kernel,attention_prepare,0,196
255,37950.546,614.466,1.696,kernel,attention,0,197
256,38566.708,0.8,2.08,memset,memset,4,
257,38569.588,176.513,-0.384,kernel,gemm,0,198
