index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
126,7376.245,4.928,32.672,7,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,
127,7413.845,2.016,128.736,7,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,
128,7544.597,4.384,70.304,7,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,
129,7619.285,19.457,3.232,7,moe_up,fused_moe,fused_moe_kernel,448,128,
130,7641.974,1.408,52.608,7,moe_activation,act_and_mul,act_and_mul_kernel,4,224,
131,7695.99,14.464,84.576,7,moe_down,fused_moe,fused_moe_kernel,256,128,
132,7795.03,0.928,98.336,7,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,16,128,
133,7894.294,2.368,66.368,8,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
134,7963.03,8.832,18.337,8,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
135,7990.199,0.992,23.84,8,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,
136,8015.031,1.024,20.128,8,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
137,8036.183,2.624,15.872,8,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,
138,8054.679,0.96,35.616,8,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,
139,8091.255,5.472,21.504,8,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
140,8118.231,1.888,32.448,8,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
141,8152.567,4.704,65.44,8,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,
142,8222.711,2.016,142.945,8,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,
143,8367.672,4.416,82.88,8,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,
