index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
143,2448.325,1.024,0.288,8,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,8,128,459561500800
144,2449.637,2.688,0.128,9,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500801
145,2452.453,9.856,0.096,9,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500802
146,2462.405,1.056,0.128,9,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500803
147,2463.589,2.4,0.096,9,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,459561500804
148,2466.085,1.056,0.128,9,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500805
149,2467.269,5.632,0.256,9,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500806
150,2473.157,2.08,0.128,9,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500807
151,2475.365,4.992,0.128,9,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,459561500808
152,2480.485,2.144,0.064,9,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,459561500809
153,2482.693,4.416,0.064,9,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,459561500810
154,2487.173,19.808,-0.032,9,moe_up,fused_moe,fused_moe_kernel,448,128,459561500811
155,2506.949,1.472,-0.064,9,moe_activation,act_and_mul,act_and_mul_kernel,4,224,459561500812
156,2508.357,14.56,0.096,9,moe_down,fused_moe,fused_moe_kernel,256,128,459561500813
157,2523.013,1.088,0.256,9,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,8,128,459561500814
158,2524.357,2.624,0.096,10,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500815
159,2527.077,5.984,-0.192,10,attn_qkv_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500816
160,2532.869,1.92,0.288,10,attn_q_norm,rmsnorm,RMSNormKernel,32,32,459561500817
161,2535.077,1.728,0.064,10,attn_k_norm,rmsnorm,RMSNormKernel,8,32,459561500818
162,2536.869,1.696,0.288,10,attn_rope,rope,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,1,8,459561500819
163,2538.853,1.088,0.096,10,attn_store_kv,store_kv,store_kvcache,1,128,459561500820
164,2540.037,3.36,-0.16,10,attn_prepare,attention_prepare,prepare_varlen_num_blocks_kernel,1,32,459561500821
165,2543.237,8.0,0.512,10,attn_kernel,attention,device_kernel,132,512,459561500822
166,2551.749,0.928,0.16,10,attn_combine,attention_combine,device_kernel,2,256,459561500823
167,2552.837,6.56,0.256,10,attn_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500824
168,2559.653,2.08,0.096,10,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500825
169,2561.829,4.992,0.128,10,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,459561500826
170,2566.949,2.304,0.128,10,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,459561500827
171,2569.381,4.48,0.096,10,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,459561500828
172,2573.957,20.32,-0.16,10,moe_up,fused_moe,fused_moe_kernel,448,128,459561500829
173,2594.117,1.472,-0.032,10,moe_activation,act_and_mul,act_and_mul_kernel,4,224,459561500830
174,2595.557,14.752,0.128,10,moe_down,fused_moe,fused_moe_kernel,256,128,459561500831
175,2610.437,1.216,0.288,10,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,8,128,459561500832
176,2611.941,2.24,0.128,11,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500833
177,2614.309,8.8,0.128,11,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500834
178,2623.237,1.088,0.064,11,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500835
179,2624.389,2.688,0.064,11,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,459561500836
180,2627.141,1.024,0.096,11,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500837
181,2628.261,5.728,0.256,11,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500838
182,2634.245,2.112,0.064,11,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500839
183,2636.421,4.96,0.096,11,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,459561500840
184,2641.477,2.144,0.064,11,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,459561500841
