model,config_id,hash,cap,chunk,policy,mem,is_cookbook,workload,request_throughput,output_throughput,total_throughput,input_throughput,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,n_rep,request_throughput_ci95
lfm25,176,cap128_chunk2048_pollpm_mem0.75,128,2048,lpm,0.75,0,R_short_decode,1.656537751395146,424.0736643571574,589.727439496672,165.6537751395146,28.540077852085236,41.435707779601216,42.84009755589068,31.520433723926544,2.2281201072402443,2.2693611109295397,2.2350265285251405,599.1957150399685,611.3386526471004,612.1031977189705,601.1732018087059,1,
lfm25,176,cap128_chunk2048_pollpm_mem0.75,128,2048,lpm,0.75,0,shared_prefix,22.14718787230404,5669.680095309834,57692.38625792051,52022.70616261067,411.0718492884189,942.1736860414964,1083.2487775711345,504.6429586473096,9.270897972415767,10.773128738590316,9.27523970787628,2853.512431960553,3061.859683040529,3064.261334598996,2869.76904378389,1,
lfm25,176,cap128_chunk2048_pollpm_mem0.75,128,2048,lpm,0.75,0,tool_agent,5.274536499917342,1093.4905344803635,15158.30583833495,14064.815303854586,168.463567038998,566.0492422757663,670.1869543455539,216.16806951351464,5.092000854866845,150.5508540198207,30.7349089996028,667.580925161019,2196.2531885132184,2767.060677180992,932.698706893716,1,
lfm25,177,cap128_chunk2048_pollpm_mem0.8,128,2048,lpm,0.8,0,R_concurrent_decode,21.486539123533632,5500.55401562461,9797.861840331336,4297.307824706727,164.3159855157137,170.97411148715764,171.15444620605558,150.77433758415282,5.07925310281708,5.237051481746284,5.143500433540812,1460.0799542386085,1468.5172910802066,1469.21698378399,1462.3669481370598,1,
lfm25,177,cap128_chunk2048_pollpm_mem0.8,128,2048,lpm,0.8,0,R_long_prefill,12.29437672538543,393.42005521233375,49570.92695675405,49177.50690154172,159.64331780560315,215.25154900737107,218.94110643304884,152.44258509483188,5.0595226292047775,7.655124279159692,5.294102724761732,316.57219026237726,316.8614480411634,316.8755671335384,316.5597695624456,1,
lfm25,177,cap128_chunk2048_pollpm_mem0.8,128,2048,lpm,0.8,0,R_medium_balanced,6.904698271821706,1767.6027575863568,7291.361375043722,5523.758617457365,126.51711725629866,136.40509394463152,136.45828187000006,114.81212516082452,4.1266106653447245,4.476809545931425,4.067809962183603,1152.265266980976,1235.7610700419173,1235.9201269922778,1152.103665517643,1,
lfm25,177,cap128_chunk2048_pollpm_mem0.8,128,2048,lpm,0.8,0,R_short_decode,1.6700851396133798,427.5417957410252,594.5503097023633,167.008513961338,25.78763198107481,33.022187440656126,33.65956317167729,27.476776216644797,2.234163472209783,2.237349729807419,2.2341636031999363,594.8787843808532,602.2953585954383,602.7687543863431,596.9086744007654,1,
lfm25,177,cap128_chunk2048_pollpm_mem0.8,128,2048,lpm,0.8,0,shared_prefix,23.82587936756537,6099.425118096736,62065.29891441245,55965.8737963157,376.9745191093534,884.4185997033486,911.66312310379,471.0617000055208,8.260192722082138,10.065338576267308,8.616532592656998,2654.896251158789,2915.899315290153,2918.3009866718203,2668.277511133056,1,
lfm25,177,cap128_chunk2048_pollpm_mem0.8,128,2048,lpm,0.8,0,tool_agent,5.274342030699791,1093.4502180945271,15157.746960057057,14064.296741962527,170.4702782444656,571.2307569105176,665.0247840676456,213.7522686086595,5.958755165338516,153.71963046491146,30.20070873280299,664.4030390307307,2239.03559311293,2784.6431587776106,939.2805425822736,1,
lfm25,178,cap128_chunk2048_pollpm_mem0.85,128,2048,lpm,0.85,0,R_concurrent_decode,21.496065490464343,5502.992765558873,9802.205863651743,4299.21309809287,140.29277744702995,172.40009950473905,172.90524729061872,140.0435216637561,5.243753280271502,5.3891153732205135,5.245062171004475,1477.4159085936844,1479.7692256513983,1480.168306203559,1477.5343752698973,1,
