model,tokens,M,config_key,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M,num_warps,num_stages,median_ms,p95_ms,std_ms,default_ms,speedup,max_abs_err
lfm25,8192,32768,bm32_bn128_bk64_gm1_w8_s4,32,128,64,1,8,4,3.7890241146087646,3.8179519176483154,0.011659793987635695,2.6943359375,0.7110896779758825,0.0
lfm25,8192,32768,bm32_bn128_bk64_gm16_w8_s4,32,128,64,16,8,4,3.7940480709075928,3.813568115234375,0.010426895313189445,2.6943359375,0.7101480759192054,0.0
lfm25,8192,32768,bm64_bn32_bk64_gm32_w8_s3,64,32,64,32,8,3,3.7940800189971924,3.805919885635376,0.005680727943419498,2.6943359375,0.7101420961100698,0.0
lfm25,8192,32768,bm64_bn32_bk64_gm1_w8_s5,64,32,64,1,8,5,3.796799898147583,3.8820478916168213,0.049547552923799566,2.6943359375,0.709633378049377,0.0
lfm25,8192,32768,bm64_bn32_bk128_gm1_w8_s3,64,32,128,1,8,3,3.798815965652466,3.801919937133789,0.004610464866489187,2.6943359375,0.7092567689146358,0.0
lfm25,8192,32768,bm64_bn32_bk128_gm32_w4_s2,64,32,128,32,4,2,3.800607919692993,3.8024001121520996,0.0009324896259090933,2.6943359375,0.7089223604306029,0.0
lfm25,8192,32768,bm64_bn32_bk64_gm16_w8_s3,64,32,64,16,8,3,3.801151990890503,3.8101439476013184,0.006130430593097653,2.6943359375,0.7088208900767456,0.0
lfm25,8192,32768,bm128_bn32_bk128_gm32_w4_s2,128,32,128,32,4,2,3.814591884613037,3.8149120807647705,0.0037984943479561204,2.6943359375,0.7063235121870242,0.0
lfm25,8192,32768,bm64_bn32_bk128_gm16_w4_s2,64,32,128,16,4,2,3.8157119750976562,3.816096067428589,0.00021706916916596473,2.6943359375,0.7061161730979559,0.0
lfm25,8192,32768,bm128_bn32_bk128_gm16_w4_s2,128,32,128,16,4,2,3.8167359828948975,3.8238720893859863,0.003413698957922569,2.6943359375,0.7059267262852209,0.0
lfm25,8192,32768,bm32_bn128_bk64_gm32_w8_s4,32,128,64,32,8,4,3.8167359828948975,3.822240114212036,0.0025069994002046934,2.6943359375,0.7059267262852209,0.0
lfm25,8192,32768,bm256_bn32_bk64_gm32_w4_s5,256,32,64,32,4,5,3.8200318813323975,3.842495918273926,0.009149925776906064,2.6943359375,0.7053176573385656,0.0
lfm25,8192,32768,bm64_bn32_bk128_gm1_w8_s2,64,32,128,1,8,2,3.823456048965454,3.841856002807617,0.007527187625462376,2.6943359375,0.7046859969082239,0.0
lfm25,8192,32768,bm64_bn32_bk128_gm32_w4_s4,64,32,128,32,4,4,3.824928045272827,3.8253440856933594,0.0008525643916953109,2.6943359375,0.7044148035228769,0.0
lfm25,8192,32768,bm64_bn32_bk64_gm32_w8_s4,64,32,64,32,8,4,3.826047897338867,3.8538880348205566,0.011798180312393465,2.6943359375,0.7042086272296781,0.0
lfm25,8192,32768,bm32_bn64_bk64_gm1_w4_s2,32,64,64,1,4,2,3.827199935913086,4.010079860687256,0.08773173430435821,2.6943359375,0.7039966509764247,0.0
lfm25,8192,32768,bm32_bn64_bk128_gm32_w4_s2,32,64,128,32,4,2,3.8313279151916504,3.8501760959625244,0.01148087510794809,2.6943359375,0.703238145400359,0.0
lfm25,8192,32768,bm64_bn32_bk64_gm16_w8_s4,64,32,64,16,8,4,3.8365120887756348,3.889024019241333,0.030727673728214062,2.6943359375,0.702287878978079,0.0
lfm25,8192,32768,bm64_bn32_bk128_gm16_w4_s4,64,32,128,16,4,4,3.8426880836486816,3.84550404548645,0.0014534384007058598,2.6943359375,0.7011591570403221,0.0
lfm25,8192,32768,bm256_bn32_bk64_gm32_w4_s4,256,32,64,32,4,4,3.848992109298706,3.8648319244384766,0.009136138163220278,2.6943359375,0.7000107719085227,0.0
lfm25,8192,32768,bm32_bn128_bk64_gm1_w8_s2,32,128,64,1,8,2,3.8504319190979004,3.8512001037597656,0.009305341203533768,2.6943359375,0.699749013646044,0.0
lfm25,8192,32768,bm32_bn64_bk128_gm16_w4_s2,32,64,128,16,4,2,3.850912094116211,3.8517439365386963,0.0020236911838767174,2.6943359375,0.6996617610712699,0.0
lfm25,8192,32768,bm256_bn32_bk128_gm1_w4_s3,256,32,128,1,4,3,3.8560640811920166,3.8572158813476562,0.0007096023840364329,2.6943359375,0.6987269611627164,0.0
lfm25,8192,32768,bm32_bn128_bk64_gm16_w8_s2,32,128,64,16,8,2,3.856703996658325,3.8601279258728027,0.008303782364793977,2.6943359375,0.6986110263672117,0.0
lfm25,8192,32768,bm256_bn32_bk128_gm16_w4_s3,256,32,128,16,4,3,3.8600640296936035,3.8605120182037354,0.0003317430715255238,2.6943359375,0.6980029131055283,0.0
lfm25,8192,32768,bm32_bn64_bk128_gm1_w4_s2,32,64,128,1,4,2,3.8601279258728027,3.8618240356445312,0.009682669652492232,2.6943359375,0.6979913591570391,0.0
lfm25,8192,32768,bm64_bn32_bk64_gm32_w8_s2,64,32,64,32,8,2,3.8610880374908447,3.8743679523468018,0.010417171437044298,2.6943359375,0.6978177941912284,0.0
lfm25,8192,32768,bm32_bn128_bk256_gm16_w4_s2,32,128,256,16,4,2,3.8632640838623047,3.9157440662384033,0.030670934511886357,2.6943359375,0.6974247369613762,0.0
