model,tokens,M,config_key,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M,num_warps,num_stages,median_ms,p95_ms,std_ms,default_ms,speedup,max_abs_err
lfm25,64,256,bm16_bn32_bk128_gm16_w4_s4,16,32,128,16,4,4,0.2017280012369156,0.20179200172424316,5.120150752368679e-05,0.28940799832344055,1.4346446529431027,0.0
lfm25,64,256,bm32_bn64_bk128_gm16_w4_s3,32,64,128,16,4,3,0.20175999402999878,0.2019519954919815,0.00023946232067164296,0.28940799832344055,1.4344171633966731,0.0
lfm25,64,256,bm16_bn64_bk128_gm32_w8_s5,16,64,128,32,8,5,0.20175999402999878,0.2019519954919815,0.00012541528608121547,0.28940799832344055,1.4344171633966731,0.0
lfm25,64,256,bm32_bn64_bk128_gm32_w4_s3,32,64,128,32,4,3,0.20179200172424316,0.20204800367355347,0.00020993847970213645,0.28940799832344055,1.4341896400776486,0.0
lfm25,64,256,bm16_bn128_bk128_gm16_w4_s4,16,128,128,16,4,4,0.20185600221157074,0.2019840031862259,0.00010200167537464979,0.28940799832344055,1.4337349157450576,0.0
lfm25,64,256,bm16_bn128_bk128_gm16_w8_s4,16,128,128,16,8,4,0.20185600221157074,0.20211200416088104,0.00013637054045037477,0.28940799832344055,1.4337349157450576,0.0
lfm25,64,256,bm16_bn128_bk128_gm1_w4_s4,16,128,128,1,4,4,0.20188799500465393,0.2019840031862259,6.589195580382806e-05,0.28940799832344055,1.4335077145957544,0.0
lfm25,64,256,bm16_bn32_bk128_gm32_w4_s4,16,32,128,32,4,4,0.2019519954919815,0.20207999646663666,8.960195954145314e-05,0.28940799832344055,1.4330534225146168,0.0
lfm25,64,256,bm16_bn128_bk64_gm16_w8_s3,16,128,64,16,8,3,0.20204800367355347,0.20262399315834045,0.00037460115262468596,0.28940799832344055,1.4323724712026038,0.0
lfm25,64,256,bm16_bn64_bk256_gm16_w8_s2,16,64,256,16,8,2,0.20207999646663666,0.2218559980392456,0.007940007921938823,0.28940799832344055,1.4321457016217918,0.0
lfm25,64,256,bm16_bn64_bk64_gm32_w4_s3,16,64,64,32,4,3,0.20207999646663666,0.2022400051355362,0.00021760130631832573,0.28940799832344055,1.4321457016217918,0.0
lfm25,64,256,bm16_bn128_bk128_gm32_w8_s4,16,128,128,32,8,4,0.2022079974412918,0.20307199656963348,0.00036056393274537567,0.28940799832344055,1.431239129933355,0.0
lfm25,64,256,bm16_bn64_bk128_gm1_w8_s2,16,64,128,1,8,2,0.20236800611019135,0.20262399315834045,0.000164911011466971,0.28940799832344055,1.4301074754171126,0.0
