model,profile,tokens,M,median_ms,p95_ms,default_ms,speedup_vs_default,regression_pct,correctness_ok
lfm25,oracle_t2,8192,32768,7.23305606842041,7.233664035797119,2.6923840045928955,0.37223325508948685,168.64875352407586,True
lfm25,oracle_t2,8,32,0.24217599630355835,0.2449280023574829,0.23971199989318848,0.9898255960624547,1.02789864982471,True
lfm25,oracle_t32,8,32,0.2439039945602417,0.24483199417591095,0.23971199989318848,0.982812931478997,1.7487629609369115,True
lfm25,oracle_t8,8,32,0.24409599602222443,0.24505600333213806,0.23971199989318848,0.9820398687382124,1.8288596862023443,True
lfm25,oracle_t1,8,32,0.24460799992084503,0.24639999866485596,0.23971199989318848,0.979984301293331,2.0424509535768465,True
lfm25,oracle_t4,8,32,0.2457599937915802,0.24636800587177277,0.23971199989318848,0.9753906492058232,2.5230250888927497,True
lfm25,oracle_t64,8,32,0.24611200392246246,0.2529279887676239,0.23971199989318848,0.9739955632912147,2.669872193351064,True
lfm25,oracle_t512,8,32,0.24694399535655975,0.30108800530433655,0.23971199989318848,0.970714025854611,3.01695178655792,True
lfm25,oracle_t16,8,32,0.2505599856376648,0.2521919906139374,0.23971199989318848,0.9567050352558544,4.525424571698533,True
lfm25,oracle_t8192,8,32,0.25200000405311584,0.26873600482940674,0.23971199989318848,0.9512380795147236,5.126153119327648,True
lfm25,global_best,8,32,0.26044800877571106,0.28998398780822754,0.23971199989318848,0.9203833080544697,8.650384165899982,True
lfm25,oracle_t2048,8,32,0.2710080146789551,0.286655992269516,0.23971199989318848,0.8845199658658034,13.055672974115428,True
lfm25,oracle_t2048,8,32,0.2990399897098541,0.3176639974117279,0.23971199989318848,0.8016051636631305,24.749695402441763,True
lfm25,mid_M,8,32,0.3184959888458252,0.3197759985923767,0.23971199989318848,0.752637421783124,32.86610139990551,True
lfm25,low_M,8,32,0.3196159899234772,0.32447999715805054,0.23971199989318848,0.7500000233110383,33.33332918914886,True
qwen,oracle_t8192,16,128,0.2513920068740845,0.32815998792648315,0.25734400749206543,1.0236761728902628,-2.312857670938573,True
qwen,oracle_t2,16,128,0.270112007856369,0.2735680043697357,0.25734400749206543,0.9527307191352525,4.961452372151021,True
qwen,oracle_t512,16,128,0.2702080011367798,0.2761920094490051,0.25734400749206543,0.9523922548903259,4.998753913129672,True
qwen,oracle_t2048,16,128,0.27190399169921875,0.2733120024204254,0.25734400749206543,0.9464517452790482,5.6577902664402435,True
qwen,low_M,16,128,0.2739199995994568,0.3147839903831482,0.25734400749206543,0.9394860100334775,6.441180530656987,True
qwen,oracle_t4,16,128,0.27478399872779846,0.32128000259399414,0.25734400749206543,0.9365319985280179,6.776917560930862,True
qwen,oracle_t1,16,128,0.27590399980545044,0.28572800755500793,0.25734400749206543,0.9327302528181095,7.2121330876365075,True
qwen,oracle_t64,16,128,0.2783679962158203,0.28598400950431824,0.25734400749206543,0.9244741169618692,8.169604930242302,True
qwen,oracle_t32,16,128,0.2879999876022339,0.29577600955963135,0.25734400749206543,0.8935556200352743,11.912451511470955,True
qwen,oracle_t16,16,128,0.29078400135040283,0.31836798787117004,0.25734400749206543,0.8850005718917071,12.994277264982923,True
qwen,global_best,16,128,0.29951998591423035,0.3022080063819885,0.25734400749206543,0.859188099607342,16.38894910870046,True
qwen,oracle_t2048,16,128,0.3035840094089508,0.3173759877681732,0.25734400749206543,0.8476863059852517,17.968167344371167,True
qwen,oracle_t8,16,128,0.31625598669052124,0.32044801115989685,0.25734400749206543,0.8137205881382877,22.89230659481054,True
qwen,mid_M,16,128,0.3243519961833954,0.3314239978790283,0.25734400749206543,0.7934096614794927,26.03829377818172,True
qwen,oracle_t2,1,8,0.24432000517845154,0.2478400021791458,0.2503359913825989,1.02462338767451,-2.403164711123318,True
qwen,oracle_t8,1,8,0.24460799992084503,0.25251200795173645,0.2503359913825989,1.023417024233089,-2.288121428372447,True
qwen,oracle_t1,1,8,0.2452480047941208,0.2489600032567978,0.2503359913825989,1.0207462914642234,-2.0324630750765293,True
qwen,oracle_t64,1,8,0.2470400035381317,0.24928000569343567,0.2503359913825989,1.0133419195161175,-1.3166256383125408,True
qwen,oracle_t2048,1,8,0.24748800694942474,0.2481279969215393,0.2503359913825989,1.0115075654302559,-1.1376647910053994,True
qwen,oracle_t512,1,8,0.24822400510311127,0.24985599517822266,0.2503359913825989,1.0085083885364363,-0.8436606609473762,True
