model,workload,config_id,hash,cls
lfm25,R_short_decode,171,cap128_chunk-1_pollpm_mem0.9,WIN
lfm25,R_short_decode,172,cap128_chunk-1_polfcfs_mem0.75,REGRESSION
lfm25,R_short_decode,173,cap128_chunk-1_polfcfs_mem0.8,REGRESSION
lfm25,R_short_decode,174,cap128_chunk-1_polfcfs_mem0.85,FLAT
lfm25,R_short_decode,175,cap128_chunk-1_polfcfs_mem0.9,WIN
lfm25,R_short_decode,176,cap128_chunk2048_pollpm_mem0.75,REGRESSION
lfm25,R_short_decode,177,cap128_chunk2048_pollpm_mem0.8,FLAT
lfm25,R_short_decode,178,cap128_chunk2048_pollpm_mem0.85,WIN
lfm25,R_short_decode,179,cap128_chunk2048_pollpm_mem0.9,WIN
lfm25,R_short_decode,180,cap128_chunk2048_polfcfs_mem0.75,FLAT
lfm25,R_short_decode,181,cap128_chunk2048_polfcfs_mem0.8,WIN
lfm25,R_short_decode,182,cap128_chunk2048_polfcfs_mem0.85,FLAT
lfm25,R_short_decode,183,cap128_chunk2048_polfcfs_mem0.9,WIN
lfm25,R_short_decode,184,cap128_chunk8192_pollpm_mem0.75,REGRESSION
lfm25,R_short_decode,185,cap128_chunk8192_pollpm_mem0.8,REGRESSION
lfm25,R_short_decode,186,cap128_chunk8192_pollpm_mem0.85,FLAT
lfm25,R_short_decode,187,cap128_chunk8192_pollpm_mem0.9,WIN
lfm25,R_short_decode,188,cap128_chunk8192_polfcfs_mem0.75,WIN
lfm25,R_short_decode,189,cap128_chunk8192_polfcfs_mem0.8,WIN
lfm25,R_short_decode,190,cap128_chunk8192_polfcfs_mem0.85,REGRESSION
lfm25,R_short_decode,191,cap128_chunk8192_polfcfs_mem0.9,REGRESSION
lfm25,R_medium_balanced,0,cap8_chunk-1_pollpm_mem0.75,REGRESSION
lfm25,R_medium_balanced,1,cap8_chunk-1_pollpm_mem0.8,FLAT
lfm25,R_medium_balanced,2,cap8_chunk-1_pollpm_mem0.85,REGRESSION
lfm25,R_medium_balanced,3,cap8_chunk-1_pollpm_mem0.9,REGRESSION
lfm25,R_medium_balanced,4,cap8_chunk-1_polfcfs_mem0.75,FLAT
lfm25,R_medium_balanced,5,cap8_chunk-1_polfcfs_mem0.8,REGRESSION
lfm25,R_medium_balanced,6,cap8_chunk-1_polfcfs_mem0.85,FLAT
lfm25,R_medium_balanced,7,cap8_chunk-1_polfcfs_mem0.9,WIN
lfm25,R_medium_balanced,8,cap8_chunk2048_pollpm_mem0.75,REGRESSION
